Seq,Form,Time_UTC,Run_ID,NAVAREA,Warning_ID,Type,PSN_Lat,PSN_Lon,Dist_NM,Band,Plotted,Source_Kind,Source_URL,Status,Notes
48,NS-01,2026-03-19T01:19:55Z,20260319_011955Z,IV,NAVAREA IV 354/2025,AREA,10.998000,-64.284167,69.2,AMBER,YES,MANUAL,,OK,
49,NS-01,2026-03-19T01:19:55Z,20260319_011955Z,IV,NAVAREA IV 428/2025,POINT,12.171833,-68.863667,231.5,AMBER,YES,MANUAL,,OK,
50,NS-01,2026-03-19T01:19:55Z,20260319_011955Z,IV,NAVAREA IV 466/2025,POINT,12.480833,-81.730500,390.6,AMBER,YES,MANUAL,,OK,
51,NS-01,2026-03-19T01:19:55Z,20260319_011955Z,IV,NAVAREA IV 504/2025,POINT,9.381667,-79.898333,503.2,AMBER,YES,MANUAL,,OK,
52,NS-01,2026-03-19T01:19:56Z,20260319_011956Z,IV,NAVAREA IV 517/2025,AREA,27.176833,-93.726833,10.9,RED,YES,MANUAL,,OK,
53,NS-01,2026-03-19T01:19:56Z,20260319_011956Z,IV,NAVAREA IV 546/2025,POINT,29.883333,-89.945000,184.2,AMBER,YES,MANUAL,,OK,
54,NS-01,2026-03-19T01:19:56Z,20260319_011956Z,IV,NAVAREA IV 563/2025,POINT,11.082000,-64.216667,136.6,AMBER,YES,MANUAL,,OK,
55,NS-01,2026-03-19T01:19:56Z,20260319_011956Z,IV,NAVAREA IV 616/2025,LINE,41.700000,-70.505000,184.2,AMBER,YES,MANUAL,,OK,
56,NS-01,2026-03-19T01:19:56Z,20260319_011956Z,IV,NAVAREA IV 643/2025,POINT,10.900000,-65.205000,195.8,AMBER,YES,MANUAL,,OK,
57,NS-01,2026-03-19T01:19:56Z,20260319_011956Z,IV,NAVAREA IV 644/2025,POINT,11.201333,-70.777833,238.3,AMBER,YES,MANUAL,,OK,
58,NS-01,2026-03-19T01:19:56Z,20260319_011956Z,IV,NAVAREA IV 650/2025,POINT,9.392000,-79.895833,502.6,AMBER,YES,MANUAL,,OK,
59,NS-01,2026-03-19T01:19:56Z,20260319_011956Z,IV,NAVAREA IV 663/2025,POINT,9.392000,-79.897833,502.6,AMBER,YES,MANUAL,,OK,
60,NS-01,2026-03-19T01:19:56Z,20260319_011956Z,IV,NAVAREA IV 667/2025,POINT,14.605333,-61.062333,177.2,AMBER,YES,MANUAL,,OK,
61,NS-01,2026-03-19T01:19:56Z,20260319_011956Z,IV,NAVAREA IV 671/2025,POINT,10.841333,-64.156333,137.3,AMBER,YES,MANUAL,,OK,
62,NS-01,2026-03-19T01:19:56Z,20260319_011956Z,IV,NAVAREA IV 693/2025,AREA,15.848333,-87.375000,243.8,AMBER,YES,MANUAL,,OK,
63,NS-01,2026-03-19T01:19:57Z,20260319_011957Z,IV,NAVAREA IV 761/2025,POINT,6.080167,-55.213667,130.0,AMBER,YES,MANUAL,,OK,
64,NS-01,2026-03-19T01:19:57Z,20260319_011957Z,IV,NAVAREA IV 789/2025,POINT,10.604167,-66.945167,299.9,AMBER,YES,MANUAL,,OK,
65,NS-01,2026-03-19T01:19:57Z,20260319_011957Z,IV,NAVAREA IV 829/2025,POINT,10.696833,-61.754167,55.5,AMBER,YES,MANUAL,,OK,
66,NS-01,2026-03-19T01:19:57Z,20260319_011957Z,IV,NAVAREA IV 872/2025,LINE,1.319614,-69.275167,614.7,AMBER,YES,MANUAL,,OK,
67,NS-01,2026-03-19T01:19:57Z,20260319_011957Z,IV,NAVAREA IV 998/2025,POINT,10.471500,-61.563833,71.6,AMBER,YES,MANUAL,,OK,
68,NS-01,2026-03-19T01:19:57Z,20260319_011957Z,IV,NAVAREA IV 1114/2025,POINT,11.148333,-60.845000,38.0,RED,YES,MANUAL,,OK,
69,NS-01,2026-03-19T01:19:57Z,20260319_011957Z,IV,NAVAREA IV 1158/2025,POINT,10.223167,-64.703667,181.8,AMBER,YES,MANUAL,,OK,
70,NS-01,2026-03-19T01:19:57Z,20260319_011957Z,IV,NAVAREA IV 1170/2025,AREA,58.816667,-68.316833,2001.6,AMBER,YES,MANUAL,,OK,
71,NS-01,2026-03-19T01:19:57Z,20260319_011957Z,IV,NAVAREA IV 1174/2025,POINT,11.502500,-69.555667,243.0,AMBER,YES,MANUAL,,OK,
72,NS-01,2026-03-19T01:19:58Z,20260319_011958Z,IV,NAVAREA IV 1175/2025,POINT,11.043167,-64.377167,146.4,AMBER,YES,MANUAL,,OK,
73,NS-01,2026-03-19T01:19:58Z,20260319_011958Z,IV,NAVAREA IV 1282/2025,POINT,16.333333,-61.005500,279.6,AMBER,YES,MANUAL,,OK,
74,NS-01,2026-03-19T01:19:58Z,20260319_011958Z,IV,NAVAREA IV 1292/2025,LINE,61.548667,-59.386333,2287.6,AMBER,YES,MANUAL,,OK,
75,NS-01,2026-03-19T01:19:58Z,20260319_011958Z,IV,NAVAREA IV 1391/2025,POINT,11.221833,-68.438000,291.8,AMBER,YES,MANUAL,,OK,
76,NS-01,2026-03-19T01:19:58Z,20260319_011958Z,IV,NAVAREA IV 1404/2025,POINT,10.058833,-61.625833,94.6,AMBER,YES,MANUAL,,OK,
77,NS-01,2026-03-19T01:19:58Z,20260319_011958Z,IV,NAVAREA IV 1413/2025,POINT,6.965500,-57.809000,250.2,AMBER,YES,MANUAL,,OK,
78,NS-01,2026-03-19T01:19:58Z,20260319_011958Z,IV,NAVAREA IV 1430/2025,AREA,8.266000,-57.037167,194.6,AMBER,YES,MANUAL,,OK,
79,NS-01,2026-03-19T01:19:58Z,20260319_011958Z,IV,NAVAREA IV 1431/2025,AREA,8.162167,-57.162167,153.9,AMBER,YES,MANUAL,,OK,
80,NS-01,2026-03-19T01:19:58Z,20260319_011958Z,IV,NAVAREA IV 007/2026,AREA,8.011000,-56.743000,178.6,AMBER,YES,MANUAL,,OK,
81,NS-01,2026-03-19T01:19:58Z,20260319_011958Z,IV,NAVAREA IV 016/2026,AREA,27.889333,-95.683000,50.0,RED,YES,MANUAL,,OK,
82,NS-01,2026-03-19T01:19:58Z,20260319_011958Z,IV,NAVAREA IV 027/2026,POINT,11.177000,-60.727000,33.5,RED,YES,MANUAL,,OK,
83,NS-01,2026-03-19T01:19:58Z,20260319_011958Z,IV,NAVAREA IV 053/2026,POINT,25.237333,-97.128667,278.4,AMBER,YES,MANUAL,,OK,
84,NS-01,2026-03-19T01:19:58Z,20260319_011958Z,IV,NAVAREA IV 055/2026,POINT,20.720000,-75.319167,230.1,AMBER,YES,MANUAL,,OK,
85,NS-01,2026-03-19T01:19:58Z,20260319_011958Z,IV,NAVAREA IV 079/2026,POINT,10.087833,-61.279500,99.2,AMBER,YES,MANUAL,,OK,
86,NS-01,2026-03-19T01:19:58Z,20260319_011958Z,IV,NAVAREA IV 098/2026,AREA,8.000000,-57.165000,168.0,AMBER,YES,MANUAL,,OK,
87,NS-01,2026-03-19T01:19:58Z,20260319_011958Z,IV,NAVAREA IV 099/2026,AREA,7.050000,-59.960000,258.0,AMBER,YES,MANUAL,,OK,
88,NS-01,2026-03-19T01:19:58Z,20260319_011958Z,IV,NAVAREA IV 113/2026,POINT,9.381667,-79.898333,503.2,AMBER,YES,MANUAL,,OK,
89,NS-01,2026-03-19T01:19:58Z,20260319_011958Z,IV,NAVAREA IV 127/2026,LINE,41.700000,-70.500000,184.2,AMBER,YES,MANUAL,,OK,
90,NS-01,2026-03-19T01:19:58Z,20260319_011958Z,IV,NAVAREA IV 158/2026,AREA,15.796667,-79.848333,175.0,AMBER,YES,MANUAL,,OK,
91,NS-01,2026-03-19T01:19:59Z,20260319_011959Z,IV,NAVAREA IV 161/2026,POINT,10.812000,-61.364333,58.8,AMBER,YES,MANUAL,,OK,
92,NS-01,2026-03-19T01:19:59Z,20260319_011959Z,IV,NAVAREA IV 167/2026,AREA,27.402333,-92.096833,22.8,RED,YES,MANUAL,,OK,
93,NS-01,2026-03-19T01:19:59Z,20260319_011959Z,IV,NAVAREA IV 211/2026,POINT,27.173333,-90.366667,95.8,AMBER,YES,MANUAL,,OK,
94,NS-01,2026-03-19T01:28:04Z,20260319_012804Z,IV,NAVAREA IV 223/2026,LINE,18.777500,-65.767000,391.9,AMBER,YES,MANUAL,,OK,
