warning_id,navarea,state,source_warning_id,cancel_targets,last_updated_utc,plotted,plot_ref,issued_utc,state_reason,last_seen_in_cumulative_id,last_seen_in_cumulative_utc,omitted_by_cumulative_id,omitted_by_cumulative_utc
NAVAREA IV 663/2025,IV,ACTIVE,NAVAREA IV 663/2025,,2026-03-19T01:19:56Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011956Z.csv,,,,,,
NAVAREA IV 667/2025,IV,ACTIVE,NAVAREA IV 667/2025,,2026-03-19T01:19:56Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011956Z.csv,,,,,,
NAVAREA IV 671/2025,IV,ACTIVE,NAVAREA IV 671/2025,,2026-03-19T01:19:56Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011956Z.csv,,,,,,
NAVAREA IV 693/2025,IV,ACTIVE,NAVAREA IV 693/2025,,2026-03-19T01:19:56Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011956Z.csv,,,,,,
NAVAREA IV 761/2025,IV,ACTIVE,NAVAREA IV 761/2025,,2026-03-19T01:19:57Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011957Z.csv,,,,,,
NAVAREA IV 789/2025,IV,ACTIVE,NAVAREA IV 789/2025,,2026-03-19T01:19:57Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011957Z.csv,,,,,,
NAVAREA IV 829/2025,IV,ACTIVE,NAVAREA IV 829/2025,,2026-03-19T01:19:57Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011957Z.csv,,,,,,
NAVAREA IV 872/2025,IV,ACTIVE,NAVAREA IV 872/2025,,2026-03-19T01:19:57Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011957Z.csv,,,,,,
NAVAREA IV 998/2025,IV,ACTIVE,NAVAREA IV 998/2025,,2026-03-19T01:19:57Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011957Z.csv,,,,,,
NAVAREA IV 1114/2025,IV,ACTIVE,NAVAREA IV 1114/2025,,2026-03-19T01:19:57Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011957Z.csv,,,,,,
NAVAREA IV 1158/2025,IV,ACTIVE,NAVAREA IV 1158/2025,,2026-03-19T01:19:57Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011957Z.csv,,,,,,
NAVAREA IV 1170/2025,IV,ACTIVE,NAVAREA IV 1170/2025,,2026-03-19T01:19:57Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011957Z.csv,,,,,,
NAVAREA IV 1174/2025,IV,ACTIVE,NAVAREA IV 1174/2025,,2026-03-19T01:19:57Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011957Z.csv,,,,,,
NAVAREA IV 1175/2025,IV,ACTIVE,NAVAREA IV 1175/2025,,2026-03-19T01:19:58Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011958Z.csv,,,,,,
NAVAREA IV 1282/2025,IV,ACTIVE,NAVAREA IV 1282/2025,,2026-03-19T01:19:58Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011958Z.csv,,,,,,
NAVAREA IV 1292/2025,IV,ACTIVE,NAVAREA IV 1292/2025,,2026-03-19T01:19:58Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011958Z.csv,,,,,,
NAVAREA IV 1391/2025,IV,ACTIVE,NAVAREA IV 1391/2025,,2026-03-19T01:19:58Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011958Z.csv,,,,,,
NAVAREA IV 1404/2025,IV,ACTIVE,NAVAREA IV 1404/2025,,2026-03-19T01:19:58Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011958Z.csv,,,,,,
NAVAREA IV 1413/2025,IV,ACTIVE,NAVAREA IV 1413/2025,,2026-03-19T01:19:58Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011958Z.csv,,,,,,
NAVAREA IV 1430/2025,IV,ACTIVE,NAVAREA IV 1430/2025,,2026-03-19T01:19:58Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011958Z.csv,,,,,,
NAVAREA IV 1431/2025,IV,ACTIVE,NAVAREA IV 1431/2025,,2026-03-19T01:19:58Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011958Z.csv,,,,,,
NAVAREA IV 007/2026,IV,ACTIVE,NAVAREA IV 007/2026,,2026-03-19T01:19:58Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011958Z.csv,,,,,,
NAVAREA IV 016/2026,IV,ACTIVE,NAVAREA IV 016/2026,,2026-03-19T01:19:58Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011958Z.csv,,,,,,
NAVAREA IV 027/2026,IV,ACTIVE,NAVAREA IV 027/2026,,2026-03-19T01:19:58Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011958Z.csv,,,,,,
NAVAREA IV 053/2026,IV,ACTIVE,NAVAREA IV 053/2026,,2026-03-19T01:19:58Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011958Z.csv,,,,,,
NAVAREA IV 055/2026,IV,ACTIVE,NAVAREA IV 055/2026,,2026-03-19T01:19:58Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011958Z.csv,,,,,,
NAVAREA IV 079/2026,IV,ACTIVE,NAVAREA IV 079/2026,,2026-03-19T01:19:58Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011958Z.csv,,,,,,
NAVAREA IV 098/2026,IV,ACTIVE,NAVAREA IV 098/2026,,2026-03-19T01:19:58Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011958Z.csv,,,,,,
NAVAREA IV 099/2026,IV,ACTIVE,NAVAREA IV 099/2026,,2026-03-19T01:19:58Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011958Z.csv,,,,,,
NAVAREA IV 113/2026,IV,ACTIVE,NAVAREA IV 113/2026,,2026-03-19T01:19:58Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011958Z.csv,,,,,,
NAVAREA IV 127/2026,IV,ACTIVE,NAVAREA IV 127/2026,,2026-03-19T01:19:58Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011958Z.csv,,,,,,
NAVAREA IV 158/2026,IV,ACTIVE,NAVAREA IV 158/2026,,2026-03-19T01:19:58Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011958Z.csv,,,,,,
